E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy
300,1.33530780370491000000,1.33404583835784000000,1.33926035381385000000,1.34731634018122000000,1.35906962782569000000,1.35419523633187000000
325,1.31786075025555000000,1.31894669411939000000,1.32387416440154000000,1.33414289269371000000,1.34781554377795000000,1.34746007708475000000
350,1.30262310150665000000,1.30535902520181000000,1.31025541436727000000,1.32087369204021000000,1.33587078157332000000,1.33980086146701000000
375,1.29045762883357000000,1.29533472956344000000,1.29696042980673000000,1.30935189524375000000,1.32458037432094000000,1.33299221270087000000
400,1.28025215284427000000,1.28240399817050000000,1.28654012175484000000,1.29949979647788000000,1.31837985844030000000,1.32591111095198000000
425,1.27026587836652000000,1.27046936509112000000,1.27708268364089000000,1.29076845681200000000,1.30869135652360000000,1.32135796482250000000
450,1.26096697502764000000,1.26152629996489000000,1.26766464735314000000,1.28161852368838000000,1.30102525324943000000,1.31496594109903000000
500,1.24548605660726000000,1.24771155932424000000,1.25281396654092000000,1.26671522501807000000,1.28597215700153000000,1.30714344733272000000
511,1.24206188928682000000,1.24425530157517000000,1.25004426855363000000,1.26425252111685000000,1.28502069997996000000,1.30421999188707000000
550,1.23101380930253000000,1.23364997625789000000,1.23898535744377000000,1.25219724976998000000,1.27512345023310000000,1.29690654111307000000
600,1.22085080417978000000,1.22334442904940000000,1.23003766851910000000,1.24320722259899000000,1.26529731217054000000,1.28987371509169000000
662,1.20904409416636000000,1.21045979302672000000,1.21537602654806000000,1.23023972848559000000,1.25428777128206000000,1.27958706565251000000
700,1.20404897813825000000,1.20496979882744000000,1.21187285381074000000,1.22628684744274000000,1.24863433827347000000,1.27698051932189000000
800,1.19143729493422000000,1.19320077399760000000,1.19854485929584000000,1.21248562892688000000,1.23591405988087000000,1.26521768453761000000
900,1.17911857193369000000,1.18091470239447000000,1.18673711056422000000,1.20018175516627000000,1.22212184372716000000,1.25558433957628000000
1000,1.17070042588435000000,1.17288287514799000000,1.17761329012291000000,1.19137798371785000000,1.21411508440691000000,1.24671211476952000000
1117,1.16110899440324000000,1.16310221740897000000,1.16804180176804000000,1.18110647582303000000,1.20316493351493000000,1.23616230333023000000
1173,1.15845495483118000000,1.15952657482018000000,1.16493351427152000000,1.17650742624210000000,1.19938805168453000000,1.23321994514263000000
1250,1.15480108263452000000,1.15602629514884000000,1.16103345257818000000,1.17218378518139000000,1.19547049739529000000,1.22877328818639000000
1332,1.15126727645229000000,1.15198193845490000000,1.15698631724392000000,1.16959701036023000000,1.18887448608651000000,1.22347905480867000000
1500,1.14497717845919000000,1.14564464795811000000,1.15027964370854000000,1.16123006075806000000,1.18045632683379000000,1.21355966947393000000
1700,1.13783905071462000000,1.13867746964931000000,1.14271212596079000000,1.15243141765685000000,1.16985746481656000000,1.20543918066203000000
1750,1.13585638144257000000,1.13740789400752000000,1.14068931365782000000,1.15077477149015000000,1.16822920876801000000,1.20143762409172000000
2000,1.13075073086844000000,1.13262373356745000000,1.13523157625833000000,1.14497469339424000000,1.16089392481069000000,1.19369990853513000000
2400,1.12223962327337000000,1.12312504774585000000,1.12600159879134000000,1.13401337571816000000,1.14948162090479000000,1.17854783364446000000
2500,1.12135664193981000000,1.12175226428936000000,1.12459696307119000000,1.13245733963007000000,1.14680142015941000000,1.17695321800278000000
3000,1.11359793471865000000,1.11429696598998000000,1.11644144419194000000,1.12328157380093000000,1.13547952270182000000,1.16185165218384000000
3500,1.10712006950719000000,1.10776803864537000000,1.11001246140146000000,1.11550664149573000000,1.12593378494136000000,1.15010819347494000000
4000,1.10292335298461000000,1.10331198591275000000,1.10470029936181000000,1.11042833743953000000,1.11945639188893000000,1.14163457204437000000
4440,1.09794670373342000000,1.09837124668959000000,1.09967796679428000000,1.10483531148684000000,1.11340761554962000000,1.13282212139250000000
5000,1.09463064014546000000,1.09503757748393000000,1.09600741853334000000,1.10073863562434000000,1.10790113623911000000,1.12569683552984000000
6000,1.08703244270017000000,1.08728120928970000000,1.08842160727694000000,1.09207483754203000000,1.09780563703995000000,1.11343765810268000000
6129,1.08619422542894000000,1.08622600675601000000,1.08733594750645000000,1.09090728841539000000,1.09639855738782000000,1.11176266994108000000
7000,1.08040437596754000000,1.08051855132486000000,1.08106973957956000000,1.08455028104456000000,1.08931378114360000000,1.10211400555409000000
8000,1.07513109065347000000,1.07507602702608000000,1.07567355593266000000,1.07873002559339000000,1.08247195206571000000,1.09321131254643000000
