E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy,hK 180 Sv/Gy
1117,1.14409490652687000000,1.14542897787421000000,1.14877585862280000000,1.15462704874271000000,1.16267828634771000000,1.16183571497044000000,1.07242952993817000000,0.32537298018813300000
1173,1.14134601467957000000,1.14265169651096000000,1.14587087757800000000,1.15156635177354000000,1.15944546627330000000,1.15899523115903000000,1.07250506570738000000,0.33470478394981900000
1250,1.13870540777360000000,1.13971214493365000000,1.14277519629295000000,1.14823728088471000000,1.15594845913189000000,1.15588419931316000000,1.07288193345807000000,0.34696018124408600000
1332,1.13513558450711000000,1.13633937707449000000,1.13927744706944000000,1.14452108587987000000,1.15196827718651000000,1.15221311635276000000,1.07290562975297000000,0.35970954174279600000
1500,1.12962718177882000000,1.13074741764988000000,1.13341731314258000000,1.13825299798598000000,1.14517978978870000000,1.14590794310489000000,1.07268185833329000000,0.38328870328310100000
1700,1.12434629067178000000,1.12528365778743000000,1.12765264013427000000,1.13201565798169000000,1.13835566829122000000,1.13937825059921000000,1.07205824865663000000,0.40843641684905700000
1750,1.12307210871358000000,1.12392340144484000000,1.12626028345221000000,1.13051674710849000000,1.13672617644236000000,1.13776108133134000000,1.07177754865180000000,0.41434587192112600000
2000,1.11872923548620000000,1.11948854022875000000,1.12153866303364000000,1.12527444236700000000,1.13086292527218000000,1.13191076581690000000,1.07137899174067000000,0.44100419447411700000
2400,1.11176974884088000000,1.11250607339396000000,1.11417953828733000000,1.11725871369113000000,1.12187747679684000000,1.12277445397969000000,1.06892904757058000000,0.47664296478953000000
2500,1.11079636192011000000,1.11149940583229000000,1.11312682229568000000,1.11603013326637000000,1.12044368671509000000,1.12125088528093000000,1.06870486251098000000,0.48448839081720300000
3000,1.10439038159758000000,1.10495398105078000000,1.10624220837239000000,1.10854261430384000000,1.11202772928997000000,1.11234978612038000000,1.06515695843679000000,0.51800540764269400000
3500,1.09879714487601000000,1.09931500572287000000,1.10035072741660000000,1.10211145429594000000,1.10490790286901000000,1.10470075853026000000,1.06130401956306000000,0.54421996396936500000
4000,1.09503273769744000000,1.09550538649652000000,1.09626162457504000000,1.09777410073208000000,1.09985375544801000000,1.09919204712930000000,1.05854425040884000000,0.56517452798217100000
4440,1.09060203362292000000,1.09112982941271000000,1.09174559116746000000,1.09297711467695000000,1.09464846801127000000,1.09350491046673000000,1.05488785184757000000,0.58061055514798800000
5000,1.08765158440289000000,1.08805630702862000000,1.08862291870465000000,1.08943236395612000000,1.09064653183333000000,1.08902764133039000000,1.05227882691356000000,0.59643163909460600000
6000,1.08073272459329000000,1.08108755180604000000,1.08137141357624000000,1.08186817167409000000,1.08236492977194000000,1.08009403561034000000,1.04567579597361000000,0.61703032988336400000
6129,1.07989351882499000000,1.08024281806125000000,1.08052225745026000000,1.08094141653378000000,1.08143043546454000000,1.07898534081071000000,1.04482387550437000000,0.61922371407432800000
7000,1.07443369772652000000,1.07474980060905000000,1.07493946233857000000,1.07512912406809000000,1.07519234464460000000,1.07222097754880000000,1.03940949834197000000,0.63126377847420400000
8000,1.06945734952581000000,1.06968534235202000000,1.06979933876512000000,1.06974234055857000000,1.06940035131926000000,1.06598045892617000000,1.03428945608354000000,0.64145781653059200000
9000,1.06443614525610000000,1.06469548551174000000,1.06464361746061000000,1.06448801330723000000,1.06381372864256000000,1.06002736091019000000,1.02906213438656000000,0.64855811130894900000
10000,1.06049483618491000000,1.06073262595938000000,1.06063751004960000000,1.06030460436534000000,1.05940100322235000000,1.05531101910145000000,1.02492148592408000000,0.65396943774961900000
12500,1.05106845411619000000,1.05122551167592000000,1.05102918972625000000,1.05051875265712000000,1.04918376339940000000,1.04447203660744000000,1.01506300854764000000,0.66148717720106800000
15000,1.04370931328378000000,1.04387583784075000000,1.04360939854960000000,1.04290999541031000000,1.04134466457477000000,1.03621570822000000000,1.00734035004088000000,0.66453289705633100000
17500,1.03725766202806000000,1.03740168158626000000,1.03711364246987000000,1.03630713294398000000,1.03455009433401000000,1.02910615503426000000,1.00056147860012000000,0.66505351583032900000
20000,1.03255219277377000000,1.03267869692618000000,1.03234978612992000000,1.03148955789356000000,1.02961729643794000000,1.02394991041012000000,0.99548647611861600000,0.66450101176178800000
25000,1.02472734113237000000,1.02484864174292000000,1.02446452314285000000,1.02353455179533000000,1.02147244141603000000,1.01546806119395000000,0.98710393509438700000,0.66137136223892600000
30000,1.01920057750875000000,1.01931769238518000000,1.01891615566599000000,1.01791231386799000000,1.01573732330565000000,1.00953023485469000000,0.98105458918477600000,0.65754983908284800000
35000,1.01322044765970000000,1.01333410110308000000,1.01290790069043000000,1.01188501970009000000,1.00964036419349000000,1.00328997804509000000,0.97474875707834600000,0.65288220544937400000
40000,1.01177924053304000000,1.01187765067194000000,1.01144710631427000000,1.01037689605376000000,1.00806425778969000000,1.00156918862250000000,0.97274731919308700000,0.64966683319479200000
45000,1.00772751967705000000,1.00782485539661000000,1.00738143711862000000,1.00629992912352000000,1.00394224169419000000,0.99734504292406600000,0.96838225881520800000,0.64521685479848700000
50000,1.00661288200478000000,1.00670917173904000000,1.00632401280198000000,1.00516853599080000000,1.00276129263418000000,0.99611730096990800000,0.96684522175339200000,0.64203106115776300000
