E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy,hK 180 Sv/Gy
70,1.60765000719036000000,1.60340112796227000000,1.59096922207268000000,1.56944943561190000000,1.53475025524919000000,1.47735104419568000000,1.29759984796299000000,0.04947190397518280000
75,1.60624540917947000000,1.60263146273598000000,1.59144360725664000000,1.57172068677245000000,1.54004098603371000000,1.48706206902159000000,1.31370797845000000000,0.05435913698362470000
80,1.59900038268112000000,1.59524485309828000000,1.58516813510868000000,1.56746880756976000000,1.53902345973935000000,1.49046185939097000000,1.32354530199136000000,0.05867178345307380000
85,1.58698520181900000000,1.58373866598811000000,1.57481961150764000000,1.55919342805785000000,1.53386331333332000000,1.48976750798188000000,1.32968831816640000000,0.06216224210708420000
90,1.57322647085748000000,1.57080811372076000000,1.56290587631627000000,1.54924726769901000000,1.52693707157855000000,1.48708527087484000000,1.33343443927273000000,0.06513896039810890000
95,1.55883236260942000000,1.55682251365894000000,1.54985287616937000000,1.53805311781493000000,1.51860296668124000000,1.48278227167670000000,1.33505837381634000000,0.06752768304430890000
100,1.54473826632361000000,1.54304450813203000000,1.53707016105628000000,1.52693840751028000000,1.51012400800843000000,1.47800419357539000000,1.33575930108623000000,0.06955495002728210000
110,1.51844716414839000000,1.51702740421858000000,1.51276812442915000000,1.50575284007008000000,1.49367096145168000000,1.46822663643506000000,1.33630031668258000000,0.07338488531325650000
120,1.49457065507679000000,1.49378962154217000000,1.49081665518457000000,1.48638240027832000000,1.47829492400045000000,1.45854233396353000000,1.33554214957546000000,0.07662694813557690000
130,1.47073482483572000000,1.46988841799632000000,1.46817272845699000000,1.46590801826507000000,1.46124134271809000000,1.44641778509827000000,1.33155808940518000000,0.07950276566655360000
140,1.44700767966779000000,1.44681991915572000000,1.44613146394481000000,1.44569335608332000000,1.44396178691647000000,1.43344719824068000000,1.32600646077977000000,0.08239765760691890000
