E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy
190,1.51408988729839000000,1.50779037866774000000,1.48852551923508000000,1.44922352518405000000,1.34724995415021000000,1.07377213778739000000
200,1.49539364207731000000,1.49094021538610000000,1.47306992607819000000,1.43594834766775000000,1.33955444284715000000,1.07064555905784000000
225,1.45260902139293000000,1.44999436002995000000,1.43916022853596000000,1.40287063367522000000,1.31780675354358000000,1.06751403252337000000
240,1.43491827679124000000,1.43041884722794000000,1.41888390390763000000,1.38758917175330000000,1.30706726279705000000,1.06619197219183000000
250,1.42218128358472000000,1.41715953467750000000,1.40887663528844000000,1.37977199217682000000,1.30300050905484000000,1.06515590548714000000
275,1.39313548032875000000,1.38993735663945000000,1.38134213828570000000,1.35698750817915000000,1.28723642251692000000,1.06395557139280000000
300,1.36964810779618000000,1.36693117063721000000,1.35953958100435000000,1.33918047952646000000,1.27553073072948000000,1.06116313078010000000
325,1.34923095362209000000,1.34680115422676000000,1.34101850315184000000,1.32289008756136000000,1.26491836546878000000,1.06213459467696000000
350,1.33290211318320000000,1.32950685342609000000,1.32351812196113000000,1.30773627253995000000,1.25479517358797000000,1.06089255923540000000
375,1.31681719706404000000,1.31437864669911000000,1.31066276042873000000,1.29599827091305000000,1.24724448150970000000,1.05983274045274000000
400,1.30280211031667000000,1.30115925150413000000,1.29694779443441000000,1.28540661440212000000,1.23924020737037000000,1.06102160830366000000
425,1.28969886056660000000,1.28847794021895000000,1.28573086943674000000,1.27449014412264000000,1.23085967746424000000,1.06150209032057000000
450,1.27832721101152000000,1.27715990346936000000,1.27639261004582000000,1.26588961267402000000,1.22602328140711000000,1.06089265313614000000
500,1.25988324435927000000,1.25952227469958000000,1.25764176602662000000,1.24973258589132000000,1.21545360605782000000,1.06264675714438000000
511,1.25412565687277000000,1.25378820882841000000,1.25502149974844000000,1.24771862546469000000,1.21373845147454000000,1.06261028575741000000
550,1.24262640690447000000,1.24377150821345000000,1.24330073928529000000,1.23744705660227000000,1.20631448728366000000,1.06308831299782000000
600,1.22943564408390000000,1.23055839549031000000,1.22996552977835000000,1.22668787398722000000,1.19907479606036000000,1.06436223671492000000
662,1.21568574833316000000,1.21572037448272000000,1.21701993720454000000,1.21176311898775000000,1.18899247603262000000,1.06330864132798000000
700,1.20817179175989000000,1.20890536300009000000,1.20949908224142000000,1.20673571748912000000,1.18591840072649000000,1.06558720764078000000
800,1.19193596654536000000,1.19281290340143000000,1.19355807933482000000,1.19326005255887000000,1.17624045446118000000,1.06585475079992000000
900,1.17941870393062000000,1.17976415221210000000,1.18058432584834000000,1.18072394476535000000,1.16704832743936000000,1.06744678176169000000
1000,1.16900654524311000000,1.16835065794894000000,1.17106667034732000000,1.17082277642115000000,1.16073632084526000000,1.06729581123758000000
1117,1.15792947852897000000,1.15820749906364000000,1.16046933978444000000,1.15947740073092000000,1.15170829692858000000,1.06668574008430000000
1173,1.15318358037973000000,1.15389311700248000000,1.15571866885638000000,1.15727319169310000000,1.14900948823605000000,1.06779536216612000000
1250,1.14928762632010000000,1.14928762632010000000,1.15138465694286000000,1.15273353651661000000,1.14623353032988000000,1.06830873670198000000
1332,1.14426492218743000000,1.14461497256489000000,1.14699311827394000000,1.14851727627891000000,1.14284977362781000000,1.06917196681584000000
1500,1.13603308717357000000,1.13663380972260000000,1.13856525402184000000,1.13896995296885000000,1.13690505728392000000,1.06891902905647000000
1700,1.12900442354709000000,1.12911182340099000000,1.13171425671683000000,1.13247734595088000000,1.12909736669864000000,1.06938592228207000000
1750,1.12759159335621000000,1.12791979793726000000,1.13000747284460000000,1.13063494492591000000,1.12738370278402000000,1.06949938251094000000
2000,1.12133142744009000000,1.12122284757348000000,1.12342321337760000000,1.12325872007240000000,1.12120849169466000000,1.06902307670109000000
2400,1.11194955507976000000,1.11180597273288000000,1.11367713174684000000,1.11393577754504000000,1.11265322047650000000,1.06705614128624000000
2500,1.11039557566704000000,1.11046539137578000000,1.11195999618280000000,1.11223405599729000000,1.11135876582586000000,1.06610914442056000000
3000,1.10194056028202000000,1.10196112002530000000,1.10241987880994000000,1.10286574872938000000,1.10163861856871000000,1.06417231188681000000
3500,1.09480865588162000000,1.09497527651716000000,1.09529449371051000000,1.09521595076848000000,1.09359128235508000000,1.06020710390241000000
4000,1.09050399636788000000,1.08998018676908000000,1.09008450898649000000,1.08959449982940000000,1.08720109783701000000,1.05637188702667000000
4440,1.08530475792733000000,1.08524186267456000000,1.08513362581677000000,1.08442606328273000000,1.08111214378118000000,1.05344831240105000000
5000,1.08140553532077000000,1.08135015034310000000,1.08085884270986000000,1.07999072948215000000,1.07686688305945000000,1.04966361182467000000
6000,1.07376326385708000000,1.07354336541752000000,1.07276853037723000000,1.07160152626477000000,1.06766725912267000000,1.04290911523161000000
6129,1.07295693965933000000,1.07262726533374000000,1.07192673533291000000,1.07071547635331000000,1.06656738621567000000,1.04143382541380000000
7000,1.06679775188761000000,1.06670921324630000000,1.06590452319635000000,1.06422075476036000000,1.05958303405145000000,1.03502231965198000000
8000,1.06157987429099000000,1.06121985381953000000,1.06008556066294000000,1.05804791422245000000,1.05333435410893000000,1.02983969685175000000
